0.3399999, 0, 0, 8.921432, 1.072554, 0, 344.5417, -943.6078, -2.443561, 0.02036542, 0.1610281, 24.0611, 2.167163, 1.812166, 14.28709
 
0.3499999, -0.7958086, 0, 9.124901, 1.076512, 4.339580916709719766767, 362.1157, -943.8301, -2.443561, 0.02036542, 0.1610281, 24.66732, 2.167163, 1.811791, 14.291
 
0.3599999, -0.8096477, -0.007958086, 9.329991, 1.080475, 4.227971026759167305673, 380.2676, -944.0527, -2.443561, 0.02036542, 0.1610281, 25.27824, 2.167163, 1.811417, 14.29492
 
0.3699999, -0.8231542, -0.01605456, 9.536731, 1.084507, 4.1202782802807593103233042124, 399.0041, -944.2754, -2.443561, 0.02036542, 0.1610281, 25.89374, 2.167163, 1.811042, 14.29883
 
0.3799999, -0.8362917, -0.0242861, 9.744927, 1.088445, 4.0162211021285645979113042124, 418.3322, -944.4983, -2.443561, 0.02036542, 0.1610281, 26.51373, 2.167163, 1.810667, 14.30274
 
0.3899999, -0.8490225, -0.03264902, 9.954711, 1.092453, 3.915539576783282070117, 438.2586, -944.7215, -2.443561, 0.02036542, 0.1610281, 27.13811, 2.167163, 1.810293, 14.30666
 
0.3999999, -0.8613093, -0.04113925, 10.16596, 1.096432, 3.817987867482927764406, 458.7902, -944.9449, -2.443561, 0.02036542, 0.1610281, 27.76679, 2.167163, 1.809918, 14.31057
 
0.4099999, -0.8731134, -0.04975234, 10.37871, 1.100448, 3.723346129017415338636, 479.9338, -945.1686, -2.443561, 0.02036542, 0.1610281, 28.3997, 2.167163, 1.809544, 14.31448
 
0.4199999, -0.884395, -0.05848347, 10.59288, 1.104437, 3.631403180027312650422, 501.6966, -945.3925, -2.443561, 0.02036542, 0.1610281, 29.03676, 2.167163, 1.809169, 14.3184
 
0.4299999, -0.8951144, -0.06732742, 10.80851, 1.108461, 3.541967332817135139753, 524.0855, -945.6166, -2.443561, 0.02036542, 0.1610281, 29.67791, 2.167163, 1.808795, 14.32231
 
0.4399998, -0.9052309, -0.07627857, 11.02551, 1.112458, 3.4548598954673524717206957876, 547.1078, -945.8409, -2.443561, 0.02036542, 0.1610281, 30.32309, 2.167163, 1.80842, 14.32622
 
0.4499998, -0.9147026, -0.08533087, 11.2439, 1.116459, 3.3699130058717818431, 570.7704, -946.0656, -2.443561, 0.02036542, 0.1610281, 30.97224, 2.167163, 1.808046, 14.33014
 
0.4599998, -0.9234872, -0.0944779, 11.4637, 1.120497, 3.2869739636627905393746957876, 595.0809, -946.2904, -2.443561, 0.02036542, 0.1610281, 31.62532, 2.167163, 1.807671, 14.33405
 
0.4699998, -0.9315425, -0.1037128, 11.68483, 1.124506, 3.2058987323234650246656957876, 620.0463, -946.5155, -2.443561, 0.02036542, 0.1610281, 32.28228, 2.167163, 1.807296, 14.33796
 
0.4799998, -0.9388242, -0.1130282, 11.90734, 1.128553, 3.1265541051501526562706957876, 645.6743, -946.7407, -2.443561, 0.02036542, 0.1610281, 32.94308, 2.167163, 1.806922, 14.34188
 
0.4899998, -0.9452887, -0.1224164, 12.13116, 1.132571, 3.048816622271196242301, 671.9719, -946.9664, -2.443561, 0.02036542, 0.1610281, 33.60767, 2.167163, 1.806547, 14.34579
 
0.4999998, -0.9508903, -0.1318693, 12.35633, 1.136625, 2.972570404684219050129, 698.9466, -947.1921, -2.443561, 0.02036542, 0.1610281, 34.27602, 2.167163, 1.806173, 14.3497
 
0.5099998, -0.9555862, -0.1413782, 12.58279, 1.140652, 2.897709320218850627754, 726.6064, -947.4182, -2.443561, 0.02036542, 0.1610281, 34.9481, 2.167163, 1.805798, 14.35362
 
0.5199998, -0.9593297, -0.1509341, 12.81058, 1.144715, 2.824136983536683484549, 754.9586, -947.6445, -2.443561, 0.02036542, 0.1610281, 35.62389, 2.167163, 1.805424, 14.35753
 
0.5299998, -0.9620744, -0.1605274, 13.03963, 1.148751, 2.7517570092992993000736957876, 784.0101, -947.8708, -2.443561, 0.02036542, 0.1610281, 36.30333, 2.167163, 1.805049, 14.36144
 
0.5399998, -0.9637768, -0.1701481, 13.26997, 1.15279, 2.6804903398696206428423042124, 813.7692, -948.0976, -2.443561, 0.02036542, 0.1610281, 36.98642, 2.167163, 1.804674, 14.36536
 
0.5499998, -0.9643881, -0.1797859, 13.50162, 1.156867, 2.610256834629131361993, 844.243, -948.3245, -2.443561, 0.02036542, 0.1610281, 37.67313, 2.167163, 1.8043, 14.36927
 
0.5599998, -0.9638651, -0.1894298, 13.73455, 1.160947, 2.540983933828736553498, 875.4401, -948.5517, -2.443561, 0.02036542, 0.1610281, 38.36343, 2.167163, 1.803925, 14.37318
 
0.5699998, -0.9621615, -0.1990684, 13.96868, 1.164967, 2.4726034096445980194216957876, 907.3675, -948.7791, -2.443561, 0.02036542, 0.1610281, 39.0573, 2.167163, 1.803551, 14.3771
 
0.5799997, -0.9592313, -0.20869, 14.20414, 1.169056, 2.405056781084905502082, 940.0338, -949.0068, -2.443561, 0.02036542, 0.1610281, 39.75473, 2.167163, 1.803176, 14.38101
 
0.5899997, -0.9550295, -0.2182824, 14.44085, 1.17315, 2.338285567157783764917, 973.4463, -949.2347, -2.443561, 0.02036542, 0.1610281, 40.45571, 2.167163, 1.802802, 14.38492
 
0.5999997, -0.9495127, -0.2278326, 14.67877, 1.177215, 2.2722421166846942732346957876, 1007.613, -949.4628, -2.443561, 0.02036542, 0.1610281, 41.16019, 2.167163, 1.802427, 14.38884
 
0.6099997, -0.9426371, -0.2373278, 14.91798, 1.181317, 2.20687769550580056054, 1042.541, -949.6912, -2.443561, 0.02036542, 0.1610281, 41.86819, 2.167163, 1.802052, 14.39275
 
0.6199997, -0.9343603, -0.2467541, 15.15839, 1.185391, 2.142150067349183708916, 1078.24, -949.9197, -2.443561, 0.02036542, 0.1610281, 42.57967, 2.167163, 1.801678, 14.39666
 
0.6299997, -0.9246391, -0.2560977, 15.40004, 1.189469, 2.078023493830950647157, 1114.716, -950.1485, -2.443561, 0.02036542, 0.1610281, 43.29462, 2.167163, 1.801304, 14.40058
 
0.6399997, -0.9134347, -0.2653441, 15.64295, 1.193584, 2.014463319548527895487, 1151.977, -950.3775, -2.443561, 0.02036542, 0.1610281, 44.01301, 2.167163, 1.800929, 14.40449
 
0.6499997, -0.90071, -0.2744785, 15.88705, 1.197671, 1.951442469968654922831, 1190.032, -950.6069, -2.443561, 0.02036542, 0.1610281, 44.73485, 2.167163, 1.800554, 14.4084
 
0.6599997, -0.8864249, -0.2834856, 16.1324, 1.201795, 1.888931704595410355628, 1228.888, -950.8363, -2.443561, 0.02036542, 0.1610281, 45.4601, 2.167163, 1.80018, 14.41232
 
0.6699997, -0.8705494, -0.2923498, 16.37895, 1.20589, 1.826914778708837875233, 1268.554, -951.0661, -2.443561, 0.02036542, 0.1610281, 46.18876, 2.167163, 1.799805, 14.41623
 
0.6799996, -0.8530418, -0.3010553, 16.62666, 1.20999, 1.765368949700998635543, 1309.03, -951.2961, -2.443561, 0.02036542, 0.1610281, 46.9207, 2.167163, 1.799431, 14.42015
 
0.6899996, -0.833869, -0.3095857, 16.87482, 1.213532, 1.704285553721249266614, 1350.298, -951.5263, -2.443561, 0.02036542, 0.1610281, 47.65544, 2.167163, 1.799056, 14.42406
 
0.6999996, -0.8130096, -0.3179244, 17.12373, 1.216813, 1.643667839713581032175, 1392.362, -951.7568, -2.443561, 0.02036542, 0.1610281, 48.39293, 2.167163, 1.798681, 14.42797
 
0.7099996, -0.7904405, -0.3260545, 17.3736, 1.220065, 1.583508226808680983525, 1435.23, -951.9875, -2.443561, 0.02036542, 0.1610281, 49.13317, 2.167163, 1.798307, 14.43188
 
0.7199996, -0.766138, -0.3339589, 17.62447, 1.22332, 1.523795885193244908234, 1478.908, -952.2184, -2.443561, 0.02036542, 0.1610281, 49.87617, 2.167163, 1.797932, 14.4358
 
0.7299996, -0.7400852, -0.3416203, 17.87637, 1.226611, 1.464525399960620700087, 1523.401, -952.4495, -2.443561, 0.02036542, 0.1610281, 50.62187, 2.167163, 1.797558, 14.43971
 
